name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/05-lexer-veryl/multi,count-spans,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/noAcc,0.4.8,"failed to run command for 'rust/regex/pikevm/noAcc', last line of stderr is: note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/05-lexer-veryl/multi,count-spans,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOnce,0.4.8,"failed to run command for 'rust/regex/pikevm/accOnce', last line of stderr is: note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/05-lexer-veryl/multi,count-spans,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accEmptyStates,0.4.8,"failed to run command for 'rust/regex/pikevm/accEmptyStates', last line of stderr is: note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/05-lexer-veryl/multi,count-spans,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOneAhead,0.4.8,"failed to run command for 'rust/regex/pikevm/accOneAhead', last line of stderr is: note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/noAcc,0.4.8,"failed to run command for 'rust/regex/pikevm/noAcc', last line of stderr is: note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOnce,0.4.8,"failed to run command for 'rust/regex/pikevm/accOnce', last line of stderr is: note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accEmptyStates,0.4.8,"failed to run command for 'rust/regex/pikevm/accEmptyStates', last line of stderr is: note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOneAhead,0.4.8,"failed to run command for 'rust/regex/pikevm/accOneAhead', last line of stderr is: note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/noAcc,0.4.8,"failed to run command for 'rust/regex/pikevm/noAcc', last line of stderr is: note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOnce,0.4.8,"failed to run command for 'rust/regex/pikevm/accOnce', last line of stderr is: note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accEmptyStates,0.4.8,"failed to run command for 'rust/regex/pikevm/accEmptyStates', last line of stderr is: note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOneAhead,0.4.8,"failed to run command for 'rust/regex/pikevm/accOneAhead', last line of stderr is: note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
