name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,107,1000000,681.56ms,162.00ns,1.00ns,162.00ns,20.00ns,158.00ns,12.30us
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,107,1000000,778.98ms,162.00ns,1.00ns,163.00ns,15.00ns,158.00ns,2.35us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev be8b1354b8),python/re,3.12.3,,102,691934,4.73s,4.11us,60.00ns,4.12us,1.01us,3.82us,727.66us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,102,1000000,577.90ms,56.00ns,1.00ns,56.00ns,10.00ns,52.00ns,3.69us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,102,1000000,576.65ms,56.00ns,1.00ns,57.00ns,13.00ns,53.00ns,8.29us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev be8b1354b8),python/re,3.12.3,,10001,138,4.56s,21.81ms,9.35us,21.81ms,16.77us,21.78ms,21.88ms
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,10001,1000000,630.32ms,119.00ns,1.00ns,120.00ns,14.00ns,111.00ns,2.42us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,10001,1000000,680.33ms,120.00ns,1.00ns,120.00ns,17.00ns,112.00ns,10.93us
curated/07-unicode-character-data/parse-line,grep-captures,0.1.0 (rev be8b1354b8),python/re,3.12.3,,1913704,90,4.61s,33.65ms,40.20us,33.66ms,56.04us,33.55ms,33.83ms
curated/07-unicode-character-data/parse-line,grep-captures,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,1913704,658,4.51s,4.56ms,3.53us,4.56ms,6.96us,4.55ms,4.60ms
curated/07-unicode-character-data/parse-line,grep-captures,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,1913704,623,4.56s,4.82ms,54.28us,4.82ms,80.21us,4.65ms,5.06ms
curated/07-unicode-character-data/compile,compile,0.1.0 (rev be8b1354b8),python/re,3.12.3,,,32486,4.56s,90.62us,602.00ns,90.73us,2.08us,87.61us,400.96us
curated/07-unicode-character-data/compile,compile,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,,98184,4.56s,24.39us,284.00ns,24.43us,482.00ns,22.63us,48.20us
curated/07-unicode-character-data/compile,compile,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,,92768,4.56s,25.19us,310.00ns,25.23us,514.00ns,23.46us,43.85us
curated/08-words/all-english,count-spans,0.1.0 (rev be8b1354b8),python/re,3.12.3,,76401,1476,4.56s,2.04ms,8.44us,2.03ms,15.77us,2.00ms,2.24ms
curated/08-words/all-english,count-spans,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,76401,5106,4.51s,588.19us,6.31us,587.57us,12.03us,566.99us,663.91us
curated/08-words/all-english,count-spans,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,76401,5088,4.51s,592.02us,4.78us,589.61us,8.13us,568.90us,629.58us
